contract_id,source_length,parse_time,stg_build_time,detection_time,total_static_time
sb_5b41104af199,9273,0.001974799999999277,4.39999999457541e-06,2.000000165480742e-07,0.0019794000000104006
sb_c6e4d50e5007,9420,0.002087399999993522,7.000000010748408e-06,2.000000165480742e-07,0.0020946000000208187
sb_34da8b64840b,9357,0.0019345999999984542,3.0999999864889105e-06,1.0000002248489182e-07,0.001937800000007428
sb_bbf1dd05a6ff,5909,0.005792799999994713,6.999999982326699e-06,9.999999406318238e-08,0.005799899999971103
sb_9f1449fd8917,7494,0.002082400000006146,1.1400000005323818e-05,3.000000106112566e-07,0.002094100000022081
sb_46e60df27d49,3058,0.0020254000000079486,7.100000004811591e-06,2.000000165480742e-07,0.0020327000000293083
sb_f8732ecafa80,8857,0.0049415999999951055,7.600000003549212e-06,9.999999406318238e-08,0.004949299999992718
sb_fce9f579b52d,1921,0.0009342000000174266,5.200000003924288e-06,2.000000165480742e-07,0.000939600000037899
sb_f0d0b48698d5,4135,0.0019489000000021406,4.900000021734741e-06,9.999999406318238e-08,0.0019539000000179385
sb_66c7aa0650cb,2631,0.001275399999997262,4.00000001832268e-06,1.9999998812636477e-07,0.001279600000003711
sb_c6174237895a,860,0.0004390000000000782,3.4999999911633495e-06,9.999999406318238e-08,0.00044259999998530475
sb_ae39534d2ae5,509,0.00018819999999664105,2.300000005561742e-06,9.999999406318238e-08,0.00019059999999626598
sb_136fd223b0f3,2990,0.0014923000000237607,3.8999999958377884e-06,9.999999406318238e-08,0.0014963000000136617
